timestamp,username,followers,delta
2026-07-16T07:05:01.462808+00:00,flaviobolsonaro,10779628,103
2026-07-16T07:05:01.462808+00:00,lulaoficial,14785947,7
2026-07-16T07:05:01.462808+00:00,ronaldocaiado,2166402,-2
2026-07-16T07:05:01.462808+00:00,romeuzemaoficial,3541188,10
2026-07-16T08:05:02.163022+00:00,renansantosmbl,1945367,97
2026-07-16T08:05:02.163022+00:00,flaviobolsonaro,10779651,23
2026-07-16T08:05:02.163022+00:00,lulaoficial,14785881,-66
2026-07-16T08:05:02.163022+00:00,ronaldocaiado,2166392,-10
2026-07-16T08:05:02.163022+00:00,romeuzemaoficial,3541200,12
2026-07-16T09:05:02.233894+00:00,renansantosmbl,1945527,160
2026-07-16T09:05:02.233894+00:00,flaviobolsonaro,10779706,55
2026-07-16T09:05:02.233894+00:00,lulaoficial,14785845,-36
2026-07-16T09:05:02.233894+00:00,ronaldocaiado,2166402,10
2026-07-16T09:05:02.233894+00:00,romeuzemaoficial,3541226,26
2026-07-16T10:05:01.881455+00:00,renansantosmbl,1945825,298
2026-07-16T10:05:01.881455+00:00,flaviobolsonaro,10779917,211
2026-07-16T10:05:01.881455+00:00,lulaoficial,14785843,-2
2026-07-16T10:05:01.881455+00:00,ronaldocaiado,2166416,14
2026-07-16T10:05:01.881455+00:00,romeuzemaoficial,3541367,141
2026-07-16T11:05:01.773741+00:00,renansantosmbl,1946461,636
2026-07-16T11:05:01.773741+00:00,flaviobolsonaro,10780413,496
2026-07-16T11:05:01.773741+00:00,lulaoficial,14785894,51
2026-07-16T11:05:01.773741+00:00,ronaldocaiado,2166439,23
2026-07-16T11:05:01.773741+00:00,romeuzemaoficial,3541631,264
